lambda,size_counts
0.8745,"{821858.0: 1.0, 1.0: 151975.0, 9.0: 159.0, 2.0: 5875.0, 4.0: 1889.0, 3.0: 1166.0, 6.0: 45.0, 5.0: 148.0, 8.0: 12.0, 48.0: 2.0, 7.0: 32.0, 10.0: 5.0, 44.0: 1.0, 39.0: 1.0, 13.0: 2.0, 37.0: 1.0, 23.0: 1.0, 16.0: 1.0, 29.0: 1.0, 18.0: 1.0, 15.0: 1.0, 61.0: 1.0, 33.0: 1.0, 34.0: 1.0, 25.0: 1.0, 11.0: 1.0, 19.0: 1.0, 14.0: 1.0, 12.0: 1.0}"
0.8745,"{822111.0: 1.0, 1.0: 151889.0, 9.0: 163.0, 2.0: 5822.0, 4.0: 1888.0, 5.0: 118.0, 6.0: 54.0, 3.0: 1175.0, 49.0: 1.0, 7.0: 32.0, 8.0: 13.0, 10.0: 8.0, 42.0: 1.0, 14.0: 1.0, 13.0: 1.0, 18.0: 2.0, 17.0: 1.0, 12.0: 2.0, 30.0: 1.0, 67.0: 1.0, 34.0: 1.0, 11.0: 1.0, 29.0: 1.0, 21.0: 2.0, 15.0: 2.0, 52.0: 1.0}"
0.8745,"{822038.0: 1.0, 1.0: 151874.0, 9.0: 162.0, 2.0: 5819.0, 4.0: 1891.0, 3.0: 1126.0, 6.0: 67.0, 5.0: 121.0, 47.0: 1.0, 7.0: 23.0, 8.0: 20.0, 41.0: 1.0, 10.0: 5.0, 11.0: 4.0, 16.0: 3.0, 27.0: 1.0, 17.0: 2.0, 14.0: 2.0, 31.0: 1.0, 71.0: 1.0, 12.0: 2.0, 36.0: 1.0, 32.0: 1.0, 96.0: 1.0, 24.0: 2.0, 13.0: 1.0, 52.0: 1.0}"
0.8745,"{803773.0: 1.0, 1.0: 167516.0, 3.0: 1317.0, 4.0: 1899.0, 2.0: 6461.0, 9.0: 173.0, 5.0: 142.0, 6.0: 78.0, 10.0: 12.0, 11.0: 2.0, 7.0: 33.0, 8.0: 16.0, 18.0: 1.0, 24.0: 1.0, 31.0: 1.0, 12.0: 4.0, 17.0: 2.0, 50.0: 1.0, 36.0: 1.0, 21.0: 1.0, 26.0: 2.0, 46.0: 1.0, 126.0: 1.0, 15.0: 3.0, 19.0: 1.0, 28.0: 1.0, 20.0: 2.0, 49.0: 1.0, 137.0: 1.0, 37.0: 1.0, 88.0: 1.0, 52.0: 1.0, 25.0: 1.0}"
0.8745,"{822161.0: 1.0, 1.0: 151692.0, 9.0: 160.0, 2.0: 5833.0, 4.0: 1872.0, 5.0: 127.0, 3.0: 1152.0, 46.0: 1.0, 7.0: 21.0, 6.0: 68.0, 10.0: 8.0, 8.0: 15.0, 40.0: 1.0, 21.0: 1.0, 17.0: 2.0, 15.0: 1.0, 20.0: 1.0, 34.0: 2.0, 72.0: 1.0, 11.0: 3.0, 14.0: 2.0, 13.0: 1.0, 24.0: 2.0, 22.0: 1.0, 43.0: 1.0, 36.0: 1.0, 16.0: 1.0, 52.0: 1.0, 26.0: 1.0, 25.0: 1.0, 49.0: 1.0}"
0.8745,"{821706.0: 1.0, 1.0: 151923.0, 9.0: 164.0, 2.0: 5772.0, 4.0: 1901.0, 3.0: 1173.0, 46.0: 2.0, 5.0: 123.0, 7.0: 19.0, 11.0: 6.0, 6.0: 66.0, 10.0: 2.0, 12.0: 4.0, 37.0: 3.0, 8.0: 22.0, 14.0: 3.0, 30.0: 1.0, 24.0: 2.0, 13.0: 2.0, 74.0: 1.0, 25.0: 1.0, 15.0: 3.0, 41.0: 1.0, 121.0: 1.0, 22.0: 1.0, 20.0: 1.0, 26.0: 1.0, 16.0: 1.0, 35.0: 1.0}"
0.8745,"{804077.0: 1.0, 1.0: 167377.0, 2.0: 6554.0, 4.0: 1886.0, 3.0: 1277.0, 13.0: 1.0, 9.0: 170.0, 6.0: 63.0, 7.0: 35.0, 5.0: 169.0, 8.0: 18.0, 15.0: 4.0, 10.0: 5.0, 12.0: 7.0, 37.0: 1.0, 11.0: 7.0, 25.0: 1.0, 23.0: 1.0, 24.0: 2.0, 18.0: 1.0, 16.0: 1.0, 48.0: 1.0, 32.0: 1.0, 20.0: 1.0, 21.0: 1.0, 135.0: 1.0, 35.0: 1.0, 14.0: 1.0, 80.0: 1.0, 58.0: 1.0, 27.0: 1.0}"
0.8745,"{821951.0: 1.0, 1.0: 151607.0, 9.0: 165.0, 2.0: 5918.0, 4.0: 1886.0, 5.0: 145.0, 3.0: 1151.0, 6.0: 56.0, 8.0: 20.0, 11.0: 4.0, 13.0: 4.0, 7.0: 21.0, 16.0: 3.0, 15.0: 5.0, 27.0: 1.0, 10.0: 6.0, 19.0: 3.0, 26.0: 1.0, 18.0: 1.0, 68.0: 1.0, 12.0: 3.0, 52.0: 1.0, 14.0: 3.0, 62.0: 1.0, 20.0: 2.0, 21.0: 1.0, 28.0: 1.0}"
0.8745,"{804653.0: 1.0, 2.0: 6313.0, 1.0: 167358.0, 4.0: 1915.0, 15.0: 3.0, 3.0: 1286.0, 9.0: 162.0, 6.0: 69.0, 5.0: 152.0, 7.0: 32.0, 10.0: 6.0, 25.0: 2.0, 39.0: 1.0, 16.0: 4.0, 11.0: 6.0, 8.0: 20.0, 57.0: 1.0, 21.0: 1.0, 12.0: 2.0, 23.0: 1.0, 17.0: 5.0, 13.0: 1.0, 31.0: 1.0, 33.0: 1.0, 113.0: 1.0, 22.0: 1.0, 34.0: 1.0, 20.0: 1.0, 29.0: 1.0}"
0.8745,"{822405.0: 1.0, 1.0: 151178.0, 9.0: 168.0, 2.0: 5912.0, 4.0: 1869.0, 3.0: 1169.0, 6.0: 62.0, 8.0: 17.0, 5.0: 151.0, 7.0: 19.0, 15.0: 3.0, 19.0: 2.0, 16.0: 3.0, 11.0: 6.0, 13.0: 8.0, 20.0: 2.0, 26.0: 2.0, 14.0: 1.0, 21.0: 1.0, 10.0: 4.0, 29.0: 1.0, 67.0: 2.0, 22.0: 1.0, 25.0: 1.0, 24.0: 1.0}"
0.8745,"{822068.0: 1.0, 1.0: 151575.0, 9.0: 161.0, 2.0: 6006.0, 4.0: 1871.0, 3.0: 1110.0, 20.0: 2.0, 6.0: 65.0, 5.0: 154.0, 41.0: 1.0, 8.0: 23.0, 7.0: 20.0, 10.0: 5.0, 57.0: 1.0, 13.0: 5.0, 26.0: 1.0, 25.0: 1.0, 16.0: 1.0, 15.0: 1.0, 22.0: 1.0, 34.0: 2.0, 38.0: 1.0, 11.0: 2.0, 28.0: 1.0, 66.0: 1.0, 19.0: 1.0}"
0.8745,"{821812.0: 1.0, 1.0: 151890.0, 9.0: 165.0, 2.0: 5950.0, 4.0: 1874.0, 3.0: 1121.0, 5.0: 143.0, 14.0: 4.0, 6.0: 65.0, 41.0: 2.0, 7.0: 19.0, 8.0: 15.0, 10.0: 6.0, 33.0: 1.0, 12.0: 4.0, 31.0: 2.0, 11.0: 4.0, 20.0: 2.0, 29.0: 2.0, 19.0: 1.0, 13.0: 1.0, 17.0: 1.0, 25.0: 1.0, 22.0: 1.0, 34.0: 1.0, 18.0: 1.0, 65.0: 1.0}"
0.8745,"{821735.0: 1.0, 1.0: 151796.0, 9.0: 169.0, 2.0: 5919.0, 4.0: 1880.0, 3.0: 1158.0, 5.0: 145.0, 16.0: 1.0, 10.0: 6.0, 6.0: 55.0, 7.0: 29.0, 31.0: 1.0, 14.0: 3.0, 8.0: 19.0, 11.0: 4.0, 30.0: 1.0, 12.0: 3.0, 15.0: 1.0, 27.0: 1.0, 39.0: 1.0, 13.0: 3.0, 19.0: 1.0, 18.0: 2.0, 24.0: 1.0, 22.0: 1.0, 36.0: 1.0, 28.0: 1.0, 25.0: 1.0, 17.0: 1.0, 41.0: 1.0, 58.0: 1.0, 21.0: 1.0}"
0.8745,"{805610.0: 1.0, 2.0: 6361.0, 4.0: 1952.0, 1.0: 166369.0, 6.0: 71.0, 3.0: 1252.0, 9.0: 173.0, 5.0: 154.0, 7.0: 44.0, 10.0: 7.0, 8.0: 14.0, 13.0: 3.0, 17.0: 1.0, 41.0: 1.0, 11.0: 6.0, 12.0: 3.0, 16.0: 6.0, 19.0: 1.0, 15.0: 2.0, 27.0: 1.0, 24.0: 1.0, 83.0: 1.0, 14.0: 1.0}"
0.8745,"{821470.0: 1.0, 1.0: 151878.0, 9.0: 166.0, 2.0: 5954.0, 4.0: 1890.0, 3.0: 1130.0, 5.0: 166.0, 8.0: 14.0, 6.0: 62.0, 22.0: 1.0, 10.0: 6.0, 7.0: 26.0, 25.0: 3.0, 15.0: 2.0, 14.0: 5.0, 12.0: 5.0, 36.0: 2.0, 11.0: 2.0, 18.0: 2.0, 31.0: 1.0, 23.0: 1.0, 13.0: 2.0, 26.0: 1.0, 35.0: 2.0, 19.0: 1.0, 16.0: 1.0, 30.0: 1.0, 17.0: 1.0, 47.0: 1.0, 52.0: 1.0}"
0.8745,"{821689.0: 1.0, 1.0: 151970.0, 9.0: 163.0, 2.0: 5902.0, 4.0: 1908.0, 3.0: 1118.0, 5.0: 126.0, 30.0: 1.0, 7.0: 20.0, 6.0: 81.0, 8.0: 13.0, 11.0: 6.0, 25.0: 2.0, 14.0: 5.0, 10.0: 6.0, 16.0: 2.0, 18.0: 1.0, 37.0: 2.0, 17.0: 1.0, 12.0: 2.0, 31.0: 1.0, 23.0: 1.0, 15.0: 1.0, 36.0: 1.0, 20.0: 1.0, 38.0: 1.0, 34.0: 1.0, 47.0: 1.0, 39.0: 1.0}"
0.8745,"{805297.0: 1.0, 2.0: 6474.0, 4.0: 1949.0, 1.0: 166464.0, 3.0: 1266.0, 5.0: 164.0, 9.0: 165.0, 8.0: 16.0, 6.0: 56.0, 73.0: 1.0, 7.0: 26.0, 21.0: 2.0, 10.0: 6.0, 41.0: 1.0, 17.0: 3.0, 14.0: 1.0, 11.0: 6.0, 12.0: 4.0, 58.0: 1.0, 30.0: 1.0, 79.0: 1.0, 25.0: 1.0, 16.0: 2.0, 80.0: 1.0, 15.0: 1.0, 32.0: 1.0}"
0.8745,"{821726.0: 1.0, 1.0: 151828.0, 9.0: 162.0, 2.0: 5862.0, 4.0: 1889.0, 3.0: 1126.0, 6.0: 63.0, 5.0: 145.0, 7.0: 34.0, 11.0: 3.0, 10.0: 4.0, 27.0: 1.0, 8.0: 17.0, 17.0: 2.0, 15.0: 2.0, 20.0: 2.0, 52.0: 1.0, 36.0: 1.0, 14.0: 2.0, 22.0: 2.0, 23.0: 1.0, 39.0: 1.0, 16.0: 1.0, 13.0: 1.0, 209.0: 1.0, 38.0: 1.0, 48.0: 1.0, 12.0: 1.0, 51.0: 1.0, 40.0: 1.0}"
0.8745,"{805310.0: 1.0, 2.0: 6440.0, 3.0: 1285.0, 1.0: 166262.0, 4.0: 1979.0, 5.0: 149.0, 9.0: 168.0, 6.0: 69.0, 10.0: 5.0, 8.0: 27.0, 19.0: 1.0, 7.0: 39.0, 15.0: 1.0, 41.0: 1.0, 11.0: 8.0, 12.0: 7.0, 13.0: 2.0, 17.0: 1.0, 22.0: 1.0, 23.0: 1.0, 39.0: 1.0, 88.0: 1.0, 14.0: 3.0, 24.0: 1.0, 18.0: 1.0, 21.0: 1.0}"
0.8745,"{821691.0: 1.0, 1.0: 151864.0, 9.0: 166.0, 2.0: 5856.0, 4.0: 1900.0, 3.0: 1151.0, 6.0: 60.0, 7.0: 17.0, 5.0: 140.0, 12.0: 3.0, 10.0: 10.0, 8.0: 16.0, 25.0: 2.0, 21.0: 1.0, 14.0: 3.0, 19.0: 1.0, 11.0: 2.0, 16.0: 1.0, 22.0: 2.0, 42.0: 1.0, 38.0: 1.0, 34.0: 1.0, 81.0: 1.0, 23.0: 1.0, 41.0: 2.0, 40.0: 2.0, 15.0: 1.0, 45.0: 1.0, 18.0: 2.0, 53.0: 1.0}"
0.8745,"{821815.0: 1.0, 1.0: 151594.0, 9.0: 165.0, 2.0: 5949.0, 4.0: 1897.0, 3.0: 1153.0, 6.0: 63.0, 5.0: 118.0, 7.0: 29.0, 10.0: 9.0, 32.0: 1.0, 12.0: 4.0, 8.0: 20.0, 11.0: 3.0, 25.0: 1.0, 18.0: 1.0, 33.0: 1.0, 20.0: 2.0, 17.0: 1.0, 24.0: 1.0, 16.0: 2.0, 37.0: 1.0, 38.0: 1.0, 13.0: 3.0, 83.0: 1.0, 26.0: 1.0, 23.0: 1.0, 14.0: 1.0, 43.0: 1.0, 27.0: 1.0, 34.0: 1.0, 19.0: 1.0, 55.0: 1.0}"
0.8745,"{804740.0: 1.0, 2.0: 6478.0, 4.0: 1913.0, 1.0: 167026.0, 3.0: 1245.0, 9.0: 163.0, 5.0: 172.0, 10.0: 9.0, 7.0: 34.0, 72.0: 1.0, 8.0: 19.0, 6.0: 77.0, 43.0: 1.0, 21.0: 3.0, 12.0: 2.0, 18.0: 2.0, 35.0: 1.0, 11.0: 2.0, 16.0: 2.0, 13.0: 2.0, 63.0: 1.0, 14.0: 2.0, 45.0: 1.0, 59.0: 1.0, 33.0: 1.0, 15.0: 1.0, 26.0: 1.0}"
0.8745,"{821677.0: 1.0, 1.0: 151754.0, 9.0: 163.0, 2.0: 5990.0, 4.0: 1870.0, 3.0: 1151.0, 7.0: 28.0, 5.0: 148.0, 6.0: 67.0, 31.0: 2.0, 26.0: 1.0, 8.0: 18.0, 12.0: 2.0, 11.0: 7.0, 10.0: 6.0, 25.0: 1.0, 15.0: 1.0, 46.0: 1.0, 33.0: 2.0, 20.0: 1.0, 22.0: 1.0, 44.0: 1.0, 13.0: 2.0, 82.0: 1.0, 27.0: 1.0, 36.0: 1.0, 17.0: 1.0, 14.0: 1.0, 18.0: 1.0}"
0.8745,"{821523.0: 1.0, 1.0: 151853.0, 9.0: 166.0, 2.0: 5914.0, 4.0: 1888.0, 3.0: 1131.0, 5.0: 173.0, 6.0: 59.0, 7.0: 25.0, 18.0: 3.0, 26.0: 1.0, 12.0: 7.0, 13.0: 1.0, 8.0: 9.0, 10.0: 11.0, 22.0: 1.0, 24.0: 2.0, 46.0: 1.0, 68.0: 1.0, 41.0: 1.0, 14.0: 2.0, 11.0: 6.0, 17.0: 1.0, 32.0: 1.0, 16.0: 1.0, 21.0: 1.0, 80.0: 1.0, 29.0: 1.0, 34.0: 1.0, 37.0: 1.0, 19.0: 1.0}"
0.8745,"{804380.0: 1.0, 2.0: 6538.0, 4.0: 1905.0, 1.0: 167354.0, 3.0: 1207.0, 5.0: 175.0, 9.0: 169.0, 7.0: 30.0, 6.0: 70.0, 11.0: 11.0, 10.0: 5.0, 8.0: 23.0, 22.0: 2.0, 44.0: 1.0, 16.0: 1.0, 14.0: 2.0, 15.0: 1.0, 13.0: 4.0, 34.0: 1.0, 12.0: 3.0, 17.0: 1.0, 57.0: 1.0, 40.0: 1.0, 51.0: 1.0, 21.0: 1.0, 33.0: 1.0, 18.0: 1.0, 19.0: 2.0, 24.0: 1.0}"
0.8745,"{821581.0: 1.0, 1.0: 151864.0, 9.0: 167.0, 2.0: 5969.0, 4.0: 1893.0, 3.0: 1183.0, 5.0: 129.0, 8.0: 12.0, 28.0: 1.0, 13.0: 4.0, 7.0: 27.0, 6.0: 57.0, 12.0: 4.0, 10.0: 8.0, 11.0: 4.0, 19.0: 1.0, 22.0: 1.0, 16.0: 1.0, 14.0: 2.0, 25.0: 1.0, 46.0: 1.0, 30.0: 3.0, 15.0: 2.0, 17.0: 2.0, 85.0: 1.0, 18.0: 1.0, 56.0: 1.0}"
0.8745,"{821509.0: 1.0, 1.0: 152098.0, 9.0: 164.0, 2.0: 5908.0, 4.0: 1906.0, 3.0: 1214.0, 5.0: 138.0, 28.0: 1.0, 10.0: 4.0, 6.0: 45.0, 47.0: 1.0, 7.0: 25.0, 8.0: 17.0, 12.0: 7.0, 17.0: 1.0, 22.0: 1.0, 13.0: 2.0, 15.0: 2.0, 26.0: 1.0, 27.0: 1.0, 49.0: 1.0, 14.0: 2.0, 30.0: 1.0, 16.0: 1.0, 61.0: 1.0, 11.0: 3.0}"
0.8745,"{804093.0: 1.0, 2.0: 6496.0, 4.0: 1890.0, 1.0: 167708.0, 3.0: 1286.0, 5.0: 163.0, 8.0: 21.0, 9.0: 173.0, 6.0: 46.0, 7.0: 30.0, 10.0: 9.0, 11.0: 5.0, 18.0: 2.0, 45.0: 1.0, 17.0: 2.0, 58.0: 1.0, 14.0: 4.0, 32.0: 1.0, 12.0: 3.0, 75.0: 1.0, 55.0: 1.0, 37.0: 1.0, 15.0: 3.0, 39.0: 1.0, 24.0: 1.0, 33.0: 1.0, 13.0: 1.0}"
0.8745,"{804970.0: 1.0, 2.0: 6467.0, 4.0: 1948.0, 1.0: 166638.0, 3.0: 1246.0, 9.0: 163.0, 5.0: 188.0, 6.0: 67.0, 10.0: 1.0, 7.0: 43.0, 70.0: 1.0, 8.0: 17.0, 23.0: 1.0, 42.0: 1.0, 13.0: 2.0, 18.0: 1.0, 16.0: 4.0, 12.0: 3.0, 37.0: 1.0, 11.0: 5.0, 24.0: 1.0, 64.0: 1.0, 54.0: 1.0, 74.0: 1.0, 22.0: 1.0, 15.0: 1.0, 29.0: 1.0, 19.0: 1.0}"
0.8745,"{822128.0: 1.0, 1.0: 151440.0, 9.0: 155.0, 2.0: 6031.0, 4.0: 1866.0, 3.0: 1090.0, 5.0: 142.0, 6.0: 80.0, 21.0: 2.0, 7.0: 42.0, 10.0: 9.0, 8.0: 14.0, 44.0: 1.0, 13.0: 3.0, 27.0: 1.0, 22.0: 3.0, 29.0: 1.0, 36.0: 1.0, 25.0: 1.0, 14.0: 1.0, 12.0: 3.0, 15.0: 2.0, 38.0: 1.0, 37.0: 1.0, 11.0: 1.0, 62.0: 1.0, 19.0: 1.0}"
0.8745,"{822249.0: 1.0, 1.0: 151276.0, 9.0: 162.0, 2.0: 5928.0, 4.0: 1884.0, 3.0: 1159.0, 5.0: 140.0, 8.0: 15.0, 6.0: 65.0, 7.0: 29.0, 44.0: 1.0, 10.0: 6.0, 13.0: 3.0, 71.0: 1.0, 11.0: 3.0, 26.0: 2.0, 22.0: 2.0, 25.0: 2.0, 12.0: 2.0, 16.0: 1.0, 18.0: 1.0, 33.0: 1.0, 30.0: 1.0, 21.0: 1.0, 42.0: 1.0, 24.0: 1.0, 62.0: 1.0, 53.0: 1.0, 19.0: 1.0}"
0.8745,"{804912.0: 1.0, 2.0: 6510.0, 1.0: 166109.0, 4.0: 1973.0, 3.0: 1327.0, 10.0: 14.0, 6.0: 64.0, 7.0: 36.0, 9.0: 167.0, 5.0: 146.0, 15.0: 2.0, 63.0: 1.0, 52.0: 1.0, 41.0: 1.0, 12.0: 4.0, 8.0: 19.0, 24.0: 2.0, 11.0: 5.0, 14.0: 5.0, 48.0: 1.0, 20.0: 1.0, 13.0: 2.0, 34.0: 1.0, 178.0: 1.0, 17.0: 1.0, 45.0: 1.0, 91.0: 1.0, 16.0: 1.0, 22.0: 1.0, 21.0: 1.0}"
0.8745,"{804985.0: 1.0, 2.0: 6498.0, 1.0: 166859.0, 4.0: 1906.0, 14.0: 4.0, 5.0: 146.0, 3.0: 1259.0, 9.0: 167.0, 8.0: 21.0, 6.0: 69.0, 29.0: 1.0, 12.0: 5.0, 7.0: 27.0, 13.0: 3.0, 35.0: 2.0, 17.0: 5.0, 11.0: 5.0, 21.0: 1.0, 27.0: 2.0, 10.0: 7.0, 126.0: 1.0, 22.0: 1.0, 15.0: 1.0, 37.0: 1.0, 16.0: 1.0}"
0.8745,"{822462.0: 1.0, 1.0: 151206.0, 9.0: 166.0, 2.0: 5715.0, 4.0: 1875.0, 3.0: 1204.0, 7.0: 27.0, 5.0: 160.0, 8.0: 20.0, 6.0: 62.0, 12.0: 4.0, 10.0: 10.0, 17.0: 3.0, 13.0: 4.0, 24.0: 1.0, 26.0: 1.0, 21.0: 1.0, 34.0: 1.0, 11.0: 3.0, 72.0: 1.0, 16.0: 1.0, 20.0: 3.0, 22.0: 1.0, 29.0: 1.0, 73.0: 1.0, 45.0: 1.0, 50.0: 1.0, 19.0: 1.0}"
0.8745,"{822642.0: 1.0, 1.0: 150741.0, 9.0: 170.0, 2.0: 5889.0, 4.0: 1873.0, 3.0: 1177.0, 6.0: 76.0, 8.0: 13.0, 5.0: 141.0, 7.0: 35.0, 12.0: 3.0, 19.0: 1.0, 18.0: 2.0, 33.0: 1.0, 26.0: 1.0, 10.0: 9.0, 60.0: 1.0, 24.0: 1.0, 11.0: 2.0, 71.0: 1.0, 17.0: 2.0, 14.0: 1.0, 16.0: 1.0, 34.0: 1.0, 74.0: 1.0, 65.0: 1.0, 50.0: 1.0, 21.0: 1.0, 20.0: 1.0, 31.0: 1.0}"
0.8745,"{823160.0: 1.0, 1.0: 150686.0, 9.0: 161.0, 2.0: 5822.0, 4.0: 1887.0, 7.0: 30.0, 3.0: 1156.0, 6.0: 56.0, 8.0: 20.0, 5.0: 138.0, 12.0: 2.0, 10.0: 4.0, 19.0: 3.0, 20.0: 2.0, 18.0: 1.0, 34.0: 1.0, 52.0: 1.0, 62.0: 1.0, 11.0: 2.0, 13.0: 2.0, 73.0: 1.0, 15.0: 1.0, 14.0: 2.0, 16.0: 2.0, 76.0: 1.0, 50.0: 1.0}"
0.8745,"{805335.0: 1.0, 2.0: 6418.0, 1.0: 166574.0, 3.0: 1311.0, 4.0: 1927.0, 13.0: 8.0, 9.0: 163.0, 5.0: 148.0, 6.0: 74.0, 8.0: 23.0, 7.0: 34.0, 34.0: 1.0, 10.0: 7.0, 30.0: 1.0, 21.0: 3.0, 15.0: 3.0, 16.0: 1.0, 25.0: 2.0, 14.0: 1.0, 18.0: 1.0, 35.0: 1.0, 11.0: 3.0, 29.0: 1.0}"
0.8745,"{823595.0: 1.0, 1.0: 150481.0, 9.0: 162.0, 2.0: 5831.0, 4.0: 1860.0, 3.0: 1138.0, 25.0: 1.0, 5.0: 127.0, 6.0: 65.0, 12.0: 3.0, 7.0: 19.0, 10.0: 4.0, 11.0: 3.0, 8.0: 15.0, 17.0: 1.0, 36.0: 1.0, 21.0: 2.0, 51.0: 1.0, 58.0: 1.0, 43.0: 1.0, 13.0: 2.0, 19.0: 3.0, 18.0: 2.0, 78.0: 1.0, 50.0: 1.0, 14.0: 2.0, 16.0: 1.0}"
0.8745,"{805749.0: 1.0, 2.0: 6387.0, 1.0: 166308.0, 3.0: 1250.0, 4.0: 1973.0, 13.0: 4.0, 9.0: 162.0, 5.0: 153.0, 8.0: 20.0, 6.0: 67.0, 7.0: 35.0, 10.0: 12.0, 24.0: 2.0, 20.0: 1.0, 11.0: 4.0, 12.0: 3.0, 23.0: 1.0, 18.0: 1.0, 26.0: 1.0, 14.0: 2.0, 21.0: 1.0, 29.0: 1.0, 17.0: 1.0, 15.0: 1.0}"
0.8745,"{823753.0: 1.0, 1.0: 150410.0, 9.0: 166.0, 2.0: 5774.0, 4.0: 1876.0, 3.0: 1086.0, 17.0: 2.0, 14.0: 2.0, 5.0: 129.0, 7.0: 35.0, 12.0: 2.0, 25.0: 1.0, 57.0: 1.0, 6.0: 56.0, 8.0: 9.0, 10.0: 5.0, 13.0: 1.0, 39.0: 1.0, 44.0: 1.0, 20.0: 3.0, 51.0: 1.0, 59.0: 1.0, 43.0: 1.0, 15.0: 2.0, 19.0: 1.0, 11.0: 2.0, 73.0: 1.0, 48.0: 1.0, 16.0: 1.0}"
0.8745,"{823798.0: 1.0, 1.0: 150260.0, 9.0: 165.0, 2.0: 5783.0, 4.0: 1874.0, 3.0: 1086.0, 12.0: 4.0, 8.0: 19.0, 5.0: 141.0, 6.0: 65.0, 7.0: 29.0, 11.0: 6.0, 23.0: 1.0, 47.0: 3.0, 13.0: 1.0, 60.0: 1.0, 21.0: 2.0, 26.0: 1.0, 53.0: 1.0, 20.0: 1.0, 22.0: 1.0, 15.0: 1.0, 43.0: 1.0, 49.0: 1.0, 16.0: 3.0, 18.0: 1.0}"
0.8745,"{823472.0: 1.0, 1.0: 150158.0, 9.0: 164.0, 2.0: 5751.0, 4.0: 1888.0, 12.0: 4.0, 3.0: 1173.0, 8.0: 21.0, 5.0: 143.0, 13.0: 5.0, 7.0: 34.0, 17.0: 2.0, 16.0: 3.0, 49.0: 1.0, 10.0: 9.0, 6.0: 49.0, 31.0: 1.0, 60.0: 1.0, 11.0: 5.0, 21.0: 2.0, 24.0: 1.0, 58.0: 1.0, 14.0: 2.0, 52.0: 1.0, 29.0: 1.0, 51.0: 2.0, 45.0: 1.0, 18.0: 1.0, 28.0: 1.0}"
0.8745,"{806036.0: 1.0, 2.0: 6416.0, 1.0: 166007.0, 3.0: 1212.0, 4.0: 1966.0, 16.0: 2.0, 5.0: 175.0, 9.0: 166.0, 8.0: 13.0, 6.0: 70.0, 7.0: 38.0, 51.0: 1.0, 12.0: 3.0, 10.0: 5.0, 20.0: 1.0, 11.0: 4.0, 25.0: 1.0, 17.0: 2.0, 45.0: 1.0, 15.0: 2.0, 13.0: 2.0, 23.0: 1.0, 24.0: 1.0, 26.0: 1.0}"
0.8745,"{823429.0: 1.0, 1.0: 150233.0, 9.0: 163.0, 2.0: 5786.0, 4.0: 1891.0, 13.0: 2.0, 3.0: 1161.0, 5.0: 143.0, 12.0: 5.0, 6.0: 61.0, 7.0: 20.0, 14.0: 4.0, 25.0: 1.0, 18.0: 2.0, 11.0: 7.0, 26.0: 2.0, 20.0: 1.0, 8.0: 20.0, 61.0: 1.0, 17.0: 2.0, 29.0: 1.0, 10.0: 6.0, 16.0: 1.0, 60.0: 1.0, 27.0: 2.0, 51.0: 1.0, 32.0: 1.0, 19.0: 1.0, 39.0: 1.0, 49.0: 1.0, 15.0: 1.0}"
0.8745,"{823509.0: 1.0, 1.0: 150115.0, 9.0: 166.0, 2.0: 5871.0, 4.0: 1881.0, 3.0: 1159.0, 6.0: 63.0, 5.0: 129.0, 8.0: 16.0, 7.0: 22.0, 14.0: 4.0, 26.0: 2.0, 18.0: 1.0, 15.0: 5.0, 24.0: 1.0, 13.0: 4.0, 60.0: 1.0, 12.0: 5.0, 23.0: 1.0, 22.0: 3.0, 10.0: 12.0, 61.0: 1.0, 33.0: 1.0, 39.0: 1.0, 54.0: 1.0, 25.0: 1.0, 16.0: 1.0}"
0.8745,"{805927.0: 1.0, 2.0: 6402.0, 1.0: 165941.0, 4.0: 1962.0, 3.0: 1256.0, 9.0: 160.0, 5.0: 155.0, 7.0: 39.0, 6.0: 78.0, 11.0: 8.0, 58.0: 1.0, 10.0: 8.0, 12.0: 2.0, 8.0: 14.0, 15.0: 3.0, 17.0: 1.0, 45.0: 1.0, 14.0: 1.0, 18.0: 2.0, 44.0: 1.0, 13.0: 2.0, 100.0: 1.0, 21.0: 1.0, 24.0: 1.0, 22.0: 1.0}"
0.8745,"{823301.0: 1.0, 1.0: 150415.0, 9.0: 167.0, 2.0: 5868.0, 4.0: 1864.0, 3.0: 1172.0, 5.0: 140.0, 6.0: 60.0, 7.0: 28.0, 15.0: 3.0, 8.0: 16.0, 13.0: 3.0, 14.0: 4.0, 11.0: 5.0, 10.0: 4.0, 18.0: 2.0, 61.0: 1.0, 21.0: 1.0, 17.0: 2.0, 29.0: 2.0, 62.0: 1.0, 27.0: 1.0, 12.0: 4.0, 35.0: 1.0, 16.0: 2.0, 40.0: 1.0}"
